DEP,DES,WAKE,EET
ZUUU,ZBHH,M,0210
ZBXJ,ZGFS,M,0300
ZUUU,ZBHD,M,0140
WADD,ZHCC,H,0607
VTBD,ZYTX,H,0431
VHHH,ZMUB,H,0407
ZSCN,ZSJN,M,0130
ZHSY,ZSHC,M,0141
UUWW,ZGHA,H,0749
ZHCC,VTSP,M,0444
ZYTL,ZBYN,M,0129
ZSJG,ZPPP,M,0242
ZHCC,ZUGY,M,0150
ZBSJ,ZGOW,M,0233
ZYTL,ZLLL,M,0245
ZPPP,ZBYN,M,0225
ZSJN,ZSPD,M,0118
ZSPD,ZBSJ,M,0142
ZYAS,ZUUU,M,0320
ZHYC,ZBHH,M,0158
RKSI,ZHCC,H,0204
ZLIC,ZBDS,M,0059
ZYHB,ZSSR,M,0323
ZSSS,ZBHH,M,0232
ZBLF,ZPPP,M,0226
ZBAA,UIII,M,0236
UHWW,ZBAA,M,0208
ZBES,ZBHH,M,0150
EDDK,ZSPD,H,1106
LOWW,ZBAA,H,0853
ZBLL,ZBTJ,M,0100
WSSS,ZHCC,M,0503
ZMUB,ZBAA,M,0152
ZBNY,ZUAS,M,0246
LTFM,RJAA,H,1111
ZBAA,OMDB,J,0812
ZBAA,LSZH,H,1025
ZBXG,ZZZZ,M,0300
ZSCN,EBLG,H,1139
ZHCC,ZBAA,M,0129
ZHNY,ZSPD,M,0123
KLAX,ZGSZ,H,1443
UBBB,ZSPD,H,0743
RKSI,EPWA,H,1013
ZSNJ,UUWW,H,0910
ZBAA,LGAV,H,0956
LKPR,ZBAA,H,0821
ZSHC,UNAA,M,0520
ZBAA,VMMC,M,0303
ZWWW,ZBDT,M,0246
ESSA,ZBAA,H,0747
ZSJN,ZSNJ,M,0056
ZSPD,EHAM,H,1142
ZSHC,ZBYN,M,0156
ZSJN,ZSNB,M,0129
LFPG,ZSJN,H,1009
ZBAA,ZGSZ,M,0256
ZSPD,LKPR,H,1156
ZBXJ,ZGCS,M,0300
ZSHC,ZLLL,M,0244
ZSHC,ZBYC,M,0146
ZBTJ,ZYHB,M,0138
RKSI,LTFM,H,1104
ZLLL,ZBYN,M,0109
OKBK,RKSI,H,0838
ZYTX,ZPPP,M,0411
ZBAA,ZGSD,M,0259
ZUUU,ZBDS,M,0140
VHHH,EFHK,H,1006
ZHHH,ZYHB,M,0252
ZYHB,VVCR,M,0554
UUBW,ZSJN,H,0733
EGLL,ZGGG,H,1036
EDDM,ZBAA,J,0828
ZBYN,ZYHB,M,0200
ZSSH,ZBAA,M,0120
KSFO,ZHHH,H,1314
ZWWW,ZHNY,M,0322
ZBXJ,ZGBH,M,0400
ZGNN,ZSJN,M,0228
ZSPD,ZBOW,M,0244
ZGGG,ZSJN,M,0215
ZLIC,ZBAA,M,0126
ZGGG,ZSJG,M,0159
ZSCN,ZLXY,M,0139
LFPG,RKSI,H,1003
ZBAA,OMAA,H,0837
ZBSJ,ZGKL,M,0221
ZLIC,ZHLY,M,0117
ZSPD,LEBL,H,1254
ZHCC,ZUCK,M,0132
VHHH,LFPG,H,1212
ZBDS,ZSNJ,M,0143
ZSPD,ZBNY,M,0143
ZSWF,ZGSZ,M,0244
ZHXY,ZPPP,M,0242
ZBNY,ZHDY,M,0300
ZBAA,KORD,H,1221
ZYTL,ZBTJ,M,0053
ZUGY,ZBAA,M,0242
ZUUU,ZHNY,M,0126
ZBTJ,ZLLL,M,0200
OMAA,ZBAA,H,0657
ZYHB,ZSOF,M,0246
ZBLL,ZUUU,M,0130
RJTT,OOMS,M,1211
ZPPP,ZBTJ,M,0258
ZWWW,ZBAA,M,0311
ZUGY,ZHLY,M,0142
ZBTJ,ZBXZ,M,0045
ZSJN,ZSJU,M,0130
ZJSY,UHWW,M,0507
ZGGG,ZYTX,M,0309
ZSNB,ZSJN,M,0137
UUEE,VHHH,H,0808
ZSFZ,ZSJN,M,0204
LFPG,ZSFZ,H,1057
PGSN,ZBAA,H,0618
UACC,ZBAA,M,0442
ZYTL,ZBSJ,M,0113
RJAA,ZBTJ,H,0324
ZBTJ,ZYDQ,M,0146
ZBXH,ZBAA,M,0100
VTBS,ZSQD,M,0417
ZPPP,ZBSJ,M,0239
ZBYC,ZBTJ,M,0117
UTDD,ZBAA,M,0500
ZBAA,ZGOW,M,0246
CYUL,ZBAA,H,1313
ZBXJ,ZSWU,M,0300
ZUUU,ZBAA,H,0220
ZSRZ,ZLXY,M,0149
KEWR,ZBAA,H,1355
OMDB,ZBAA,H,0655
RKSI,LTBA,H,1104
EHAM,ZSPD,H,0945
ZPLJ,ZBTJ,M,0253
ZSPD,ZBLL,M,0221
ZSHC,ZBTL,M,0234
ZSHC,ZBTJ,M,0143
ZSPD,ZBLF,M,0209
ZUZY,ZBAA,M,0230
VVNB,ZBAA,H,0256
ZSAM,ZHCC,M,0155
ZBTJ,ZYCC,M,0120
ZSPD,ZHXF,M,0145
ZSJN,EBLG,H,1038
ZBHH,ZGNN,M,0246
ZBAA,ZGNN,M,0303
OIIE,ZSPD,H,0806
ZHXY,ZSSS,M,0114
LHBP,ZBAA,H,0837
ZBSJ,ZGHA,M,0146
EPWA,ZBAA,H,0804
ZLLL,ZBTJ,M,0148
ZSSS,ZBAA,H,0150
ZSJN,ZYTL,M,0050
ZBTJ,ZYBS,M,0128
ZHHH,ZYCC,M,0244
ZSJN,ZSHC,M,0114
ZSSS,ZHLY,M,0146
ZSHC,ZBSJ,M,0149
ZBAA,ZJSY,M,0338
VYYY,ZBAA,M,0421
ZBDS,ZSJN,M,0126
ZSNT,ZLXY,M,0201
ZBSJ,ZGGG,M,0226
ZSOF,ZBHH,M,0145
ZBTJ,ZUZY,M,0235
ZHHH,ZLIC,M,0154
ZLLL,ZBSJ,M,0137
ZLIC,ZHHH,M,0144
ZSWZ,ZBYN,M,0229
ZBYN,ZLIC,M,0110
ZBSJ,ZGFS,M,0224
ZSWZ,ZLLL,M,0306
ZSJN,ZSFZ,M,0202
ZHNY,ZSHC,M,0117
ZBAA,KIAH,H,1255
EDDF,ZBAA,H,0853
ZBYY,ZBYY,L,0200
ZBYN,ZBUH,M,0123
ZYHB,ZSJN,M,0207
ZBAA,ZWKM,M,0412
ZSHC,EHAM,H,1108
ZHXY,ZSQD,M,0141
ZWWW,ZHHH,M,0405
ZYTX,ZSOF,M,0221
ZSNB,ZLXY,M,0219
ZSJN,ZLXY,M,0137
ZSFZ,ZLXY,M,0226
ZSCG,ZLXY,M,0155
ZHHH,ZBTJ,M,0134
ZGHA,ZYHB,M,0311
ZBAA,UUWW,M,0744
ZBXG,ZGLG,M,0300
EKCH,ZSPD,H,0916
ZBAA,ZGKL,M,0237
ZBTJ,ZBSJ,M,0050
ZBDS,ZSHC,M,0209
ZHCC,RCTP,M,0214
LIRF,ZSPD,H,1029
ZBXJ,ZSSF,M,0300
RJBB,ZBAA,H,0249
CYYZ,VHHH,H,1451
ZSPD,ZBHH,M,0242
ZSPD,ZBHD,M,0159
ZHCC,RJAA,M,0325
ZGHY,ZHCC,M,0125
ZBAA,KEWR,H,1235
ZGKL,ZBDT,M,0230
ZSJG,ZSJG,M,0200
ZSQD,ZGHY,M,0227
ZYTL,ZHYC,M,0209
ZBAA,VVTS,M,0457
ZYHB,ZSGZ,M,0339
ZBXJ,ZSQZ,M,0300
ZGHA,ZBYN,M,0155
ZBCF,ZBTJ,M,0100
ZSJN,ZSCN,M,0135
ZPPP,ZHXY,M,0213
VTBS,ZSJN,M,0351
ZGHA,ZBYC,M,0128
ZSQD,ZGHA,M,0204
ZSYC,ZBAA,M,0216
ZBHH,ZMUB,M,0138
ZGSZ,ZSWF,M,0227
ZBAA,ZMUB,M,0152
KLAX,ZGHA,H,1404
LFBO,RKSI,H,1026
ZYCC,ZGSZ,M,0359
ZUMY,ZYTX,M,0234
UHHH,VTSP,H,0726
ZBSJ,ZJHK,M,0300
RKSI,OMDB,H,1020
RKSI,LSZH,H,1123
ZSJG,ZYTX,M,0140
ZBTJ,ZUUU,M,0229
ZBHH,ZGHA,M,0159
